OBJECTID,scn,region,system,locn,X,Y
1,N01111,RGA,A,Airton GrHill,-6.3561512,53.2935943
2,N01121,RGR,A,Mayberry GrHill,-6.3543522,53.2983057
3,N01131,RGR,A,Tymon North,-6.3522039,53.3012291
4,N01141,RGR,A,Cuckoos Nest,-6.3528819,53.3032479
5,N01151,RGA,A,Harvey Grhills,-6.3557032,53.2945235
6,N02111,ROB,A,OB Rd Old Court,-6.3529528,53.2746956
7,N02121,ROB,A,Kiltipper,-6.3573936,53.276824
8,N02131,ROB,A,Firhouse Rd W,-6.3573936,53.276824
9,N03111,ROR,A,ORR Lucan Road,-6.4257382,53.3595655
10,N03121,ROR,A,N4 Off Ramp EB,-6.4243135,53.3572015
11,N03131,ROR,A,ORR-Hermitage,-6.4225864,53.3558853
12,N03141,ROR,A,ORR-Ballyowen,-6.420942,53.3547819
13,N04111,RN4,A,N4 OVAL,-6.36842,53.3536213
14,N04121,RN4,A,N4-Kennelsfort,-6.3724295,53.3553492
15,N05111,RBGR,A,Old Belgard/Emb,-6.374035,53.299875
16,N05121,RBGR,A,Belgard/Embank,-6.3734014,53.3001616
17,N05131,RTMP,A,BelgrdCookstown,-6.3719216,53.2992603
18,N05141,RTMP,A,Belgrd/Mayberry,-6.3709132,53.29789
19,N06111,RSYL,A,Embank/Sylvan,-6.3664911,53.3038053
20,N07111,RM50,A,M50 I/C East SB,-6.3572474,53.3071262
21,N07112,RM50,A,FL L/T to M50,-6.3572474,53.3071262
22,N07113,RM50,A,M50 FL L/T O/R,-6.3572474,53.3071262
23,N07121,RM50,A,M50 I/C West NB,-6.3572474,53.3071262
24,N07122,RM50,A,Fl-LT to M50 NB,-6.3572474,53.3071262
25,N08111,RKIL,A,Killyninny Junc,-6.3308667,53.276535
26,N11121,RN4N,A,N4-Newcastle S0,-6.4494915,53.3513858
27,N11131,RN4N,A,hillcrest junct,-6.4501316,53.3493669
28,N11132,RN4N,A,hilcrest Remote,-6.4501316,53.3493669
29,N13111,RYEL,A,T376-Castleside,-6.2843989,53.3000042
30,N13121,RYEL,A,P488 Castle ST0,-6.2844006,53.2987301
31,N13122,RYEL,A,P488 Castle ST1,-6.2844006,53.2987301
32,N13131,RYEL,A,T380-Butter ST0,-6.2853542,53.2978484
33,N13132,RYEL,A,T380-Butt ST1,-6.2853542,53.2978484
34,N13141,RYEL,A,T337b-Yellow Hs,-6.2846546,53.2966063
35,N13151,RYEL,A,T338-Nutgrove,-6.2805329,53.294776
36,N25191,RFHM,A,FIRHOUSE-MORTON,-6.331866,53.2868227
37,N25211,RFHM,A,Firhouse-Delfor,-6.3271499,53.2875735
38,,,,,,
